date,home,away,tournament,pick,actual,pH,pD,pA,brier
2021-07-11,USA,HAI,Gold Cup,H,H,0.9732,0.0221,0.0047,0.0012
2021-07-13,QAT,PAN,Gold Cup,H,D,0.7659,0.1619,0.0723,1.2942
2021-07-15,HAI,CAN,Gold Cup,A,A,0.0373,0.1087,0.8540,0.0345
2021-07-18,USA,CAN,Gold Cup,H,H,0.6133,0.2221,0.1646,0.2260
2021-07-29,MEX,CAN,Gold Cup,H,H,0.6470,0.2205,0.1324,0.1907
2021-07-29,USA,QAT,Gold Cup,H,H,0.4924,0.2563,0.2513,0.3865
2021-08-01,USA,MEX,Gold Cup,H,H,0.3690,0.2699,0.3611,0.6015
2021-09-01,FRA,BIH,FIFA World Cup qualification,H,D,0.9835,0.0139,0.0026,1.9398
2021-09-01,NOR,NED,FIFA World Cup qualification,A,D,0.1279,0.1986,0.6735,1.1123
2021-09-02,KOR,IRQ,FIFA World Cup qualification,H,D,0.6742,0.1983,0.1275,1.1137
2021-09-02,SWE,ESP,FIFA World Cup qualification,A,H,0.0738,0.1484,0.7778,1.4849
2021-09-02,ECU,PAR,FIFA World Cup qualification,H,H,0.6400,0.2122,0.1478,0.1965
2021-09-05,BEL,CZE,FIFA World Cup qualification,H,H,0.8660,0.0971,0.0370,0.0288
2021-09-05,PAR,COL,FIFA World Cup qualification,A,D,0.3520,0.2698,0.3782,0.8002
2021-09-05,USA,CAN,FIFA World Cup qualification,H,D,0.7773,0.1487,0.0740,1.3344
2021-09-06,RSA,GHA,FIFA World Cup qualification,A,H,0.3374,0.2692,0.3934,0.6663
2021-09-07,IRQ,IRN,FIFA World Cup qualification,A,A,0.2505,0.2764,0.4731,0.4168
2021-09-07,AUT,SCO,FIFA World Cup qualification,H,A,0.6626,0.2031,0.1343,1.2298
2021-09-07,NED,TUR,FIFA World Cup qualification,H,H,0.5092,0.2527,0.2382,0.3615
2021-09-08,PAN,MEX,FIFA World Cup qualification,A,D,0.0792,0.1545,0.7663,1.3083
2021-09-09,URU,ECU,FIFA World Cup qualification,H,H,0.4529,0.2633,0.2839,0.4492
2021-10-07,KSA,JPN,FIFA World Cup qualification,A,H,0.1422,0.2085,0.6492,1.2008
2021-10-07,MEX,CAN,FIFA World Cup qualification,H,D,0.7039,0.1852,0.1110,1.1717
2021-10-07,PAR,ARG,FIFA World Cup qualification,A,D,0.0799,0.1553,0.7648,1.3048
2021-10-07,URU,COL,FIFA World Cup qualification,H,D,0.6744,0.1982,0.1274,1.1140
2021-10-07,BEL,FRA,UEFA Nations League,A,A,0.2997,0.2857,0.4146,0.5142
2021-10-08,TUR,NOR,FIFA World Cup qualification,H,D,0.6582,0.2049,0.1369,1.0840
2021-10-10,PAN,USA,FIFA World Cup qualification,A,H,0.0962,0.1719,0.7319,1.3821
2021-10-10,COL,BRA,FIFA World Cup qualification,A,D,0.0447,0.1097,0.8456,1.5098
2021-10-10,ARG,URU,FIFA World Cup qualification,H,H,0.6019,0.2261,0.1720,0.2392
2021-10-10,ESP,FRA,UEFA Nations League,A,A,0.1635,0.2411,0.5954,0.2486
2021-10-12,IRN,KOR,FIFA World Cup qualification,H,D,0.4859,0.2576,0.2565,0.8530
2021-10-12,JPN,AUS,FIFA World Cup qualification,H,H,0.4582,0.2624,0.2794,0.4405
2021-10-13,CAN,PAN,FIFA World Cup qualification,H,H,0.5794,0.2335,0.1870,0.2664
2021-10-14,COL,ECU,FIFA World Cup qualification,H,D,0.3688,0.2699,0.3613,0.7996
2021-10-14,BRA,URU,FIFA World Cup qualification,H,H,0.8536,0.1048,0.0416,0.0341
2021-11-11,AUS,KSA,FIFA World Cup qualification,H,D,0.6040,0.2254,0.1706,0.9939
2021-11-11,BRA,COL,FIFA World Cup qualification,H,H,0.9167,0.0635,0.0197,0.0114
2021-11-12,USA,MEX,FIFA World Cup qualification,H,H,0.4044,0.2685,0.3270,0.5338
2021-11-12,URU,ARG,FIFA World Cup qualification,A,A,0.1873,0.2336,0.5790,0.2669
2021-11-14,GHA,RSA,FIFA World Cup qualification,H,H,0.4474,0.2640,0.2886,0.4584
2021-11-14,ESP,SWE,FIFA World Cup qualification,H,H,0.7370,0.1694,0.0936,0.1066
2021-11-16,IRQ,KOR,FIFA World Cup qualification,A,A,0.1531,0.2348,0.6121,0.2290
2021-11-16,CAN,MEX,FIFA World Cup qualification,H,H,0.3727,0.2699,0.3574,0.5941
2021-11-16,NED,NOR,FIFA World Cup qualification,H,H,0.8144,0.1281,0.0575,0.0542
2021-11-16,COL,PAR,FIFA World Cup qualification,H,D,0.5726,0.2357,0.1917,0.9488
2021-11-16,ARG,BRA,FIFA World Cup qualification,A,D,0.2750,0.2616,0.4634,0.8355
2022-01-27,IRN,IRQ,FIFA World Cup qualification,H,H,0.7679,0.1537,0.0784,0.0836
2022-01-27,ECU,BRA,FIFA World Cup qualification,A,D,0.0795,0.1549,0.7656,1.3066
2022-01-27,PAR,URU,FIFA World Cup qualification,A,A,0.3183,0.2678,0.4139,0.5166
2022-01-30,CAN,USA,FIFA World Cup qualification,A,H,0.3255,0.2684,0.4061,0.6919
2022-02-01,JPN,KSA,FIFA World Cup qualification,H,H,0.6720,0.1992,0.1288,0.1639
2022-02-01,ARG,COL,FIFA World Cup qualification,H,H,0.8454,0.1098,0.0448,0.0380
2022-02-01,BRA,PAR,FIFA World Cup qualification,H,H,0.9693,0.0252,0.0055,0.0016
2022-02-02,MEX,PAN,FIFA World Cup qualification,H,H,0.7097,0.1825,0.1078,0.1292
2022-03-24,MEX,USA,FIFA World Cup qualification,H,D,0.3982,0.2689,0.3329,0.8038
2022-03-24,KOR,IRN,FIFA World Cup qualification,H,H,0.4826,0.2582,0.2592,0.4015
2022-03-24,AUS,JPN,FIFA World Cup qualification,A,A,0.2855,0.2635,0.4509,0.4525
2022-03-24,PAR,ECU,FIFA World Cup qualification,A,H,0.1745,0.2274,0.5981,1.0908
2022-03-24,POR,TUR,FIFA World Cup qualification,H,H,0.7375,0.1692,0.0933,0.1062
2022-03-24,SWE,CZE,FIFA World Cup qualification,H,H,0.4722,0.2601,0.2677,0.4179
2022-03-25,COD,MAR,FIFA World Cup qualification,A,D,0.1692,0.2246,0.6062,0.9974
2022-03-25,EGY,SEN,FIFA World Cup qualification,A,H,0.2932,0.2647,0.4421,0.7652
2022-03-27,USA,PAN,FIFA World Cup qualification,H,H,0.7971,0.1379,0.0650,0.0644
2022-03-29,MAR,COD,FIFA World Cup qualification,H,H,0.7339,0.1710,0.0952,0.1091
2022-03-29,SEN,EGY,FIFA World Cup qualification,H,H,0.4886,0.2571,0.2543,0.3923
2022-03-29,KSA,AUS,FIFA World Cup qualification,H,H,0.3919,0.2693,0.3388,0.5571
2022-03-29,ECU,ARG,FIFA World Cup qualification,A,D,0.1187,0.1915,0.6898,1.1435
2022-03-30,PAN,CAN,FIFA World Cup qualification,A,H,0.1050,0.1800,0.7150,1.3447
2022-06-02,CZE,SUI,UEFA Nations League,A,H,0.1473,0.2118,0.6409,1.1828
2022-06-02,ESP,POR,UEFA Nations League,H,D,0.4074,0.2683,0.3242,0.8065
2022-06-03,CRO,AUT,UEFA Nations League,H,A,0.6464,0.2097,0.1439,1.1946
2022-06-03,BEL,NED,UEFA Nations League,H,A,0.5693,0.2367,0.1940,1.0297
2022-06-05,POR,SUI,UEFA Nations League,H,H,0.6260,0.2175,0.1565,0.2116
2022-06-05,CZE,ESP,UEFA Nations League,A,D,0.1622,0.2208,0.6170,1.0142
2022-06-05,SWE,NOR,UEFA Nations League,H,A,0.6167,0.2209,0.1624,1.1308
2022-06-06,CRO,FRA,UEFA Nations League,A,D,0.0157,0.0542,0.9301,1.7598
2022-06-07,GER,ENG,UEFA Nations League,A,D,0.2877,0.2639,0.4484,0.8257
2022-06-09,CAN,CUW,CONCACAF Nations League,H,H,0.9255,0.0574,0.0171,0.0091
2022-06-09,POR,CZE,UEFA Nations League,H,H,0.8398,0.1132,0.0470,0.0407
